,Carbon source 1 (category),Carbon source 1 (g/L),Carbon source 1 heat of combustion (kJ/mol),Carbon source 1 heat of combustion (kJ/g),Carbon source 2 (category),Carbon source 2 (g/L),Carbon source 2 heat of combustion (kJ/mol),Carbon source 2 heat of combustion (kJ/g),Product class,Product Gibbs energy of formation in Equilibrator,Number of carbon atoms in the product,Number of hydrogen atoms in the product,Number of oxygen atoms in the product,MW of product (g/mol),Fermentation time (h),Pathway enzymatic steps,ATP cost,NADH or NADPH cost,Reactor type,Cultivation volume (L),Medium type,Temperature,pH,Estimation of N2 levels,Genes modified,Genes deleted,Genes overexpressed,Heterologous genes,plot
1242,0.0,0.01610305958132045,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.3333333333333333,0.32899526201272955,0.7435897435897435,0.8892580287929126,0.09523809523809523,0.5082212257100149,0.3652173913043478,0.46428571428571425,0.75,0.33402922755741127,0.0,0.00038850038850038855,1.0,0.7999999999999999,0.0,0.6666666666666666,0.09090909090909091,0.0,0.0,0.1875,4.0
4151,0.023255813953488372,0.08051529790660225,0.007495068093663333,0.34718100890207715,0.0,0.0,0.0,0.0,0.0,0.12420440449803771,0.10256410256410256,0.07715023994093761,0.23809523809523808,0.16787397953317235,0.052173913043478265,0.0,0.0,0.020876826722338204,0.0,0.00038850038850038855,0.0,0.7999999999999999,0.4368932038834951,0.6666666666666666,0.0,0.0,0.0,0.0,1.0
3225,0.023255813953488372,0.08051529790660225,0.007495068093663333,0.34718100890207715,0.0,0.0,0.0,0.0,0.6666666666666665,0.19883278768530005,0.10256410256410256,0.18789221114802512,0.23809523809523808,0.17477291019891916,0.1565217391304348,0.10714285714285714,0.25,0.04175365344467641,0.25,0.009324009324009324,0.0,0.8571428571428571,0.5339805825242718,0.3333333333333333,0.0,0.0,0.0,0.0,7.0
1842,0.0,0.01610305958132045,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.5555555555555556,0.30400390426418855,0.07692307692307693,0.1509782207456626,0.047619047619047616,0.08508681154421065,0.052173913043478265,0.21428571428571427,0.041666666666666664,0.10438413361169102,0.0,0.00038850038850038855,1.0,0.8571428571428571,0.0,0.3333333333333333,0.045454545454545456,0.1111111111111111,0.06666666666666667,0.0,6.0
3440,0.0,0.040257648953301126,0.018402920069761457,0.2753709198813056,0.17391304347826086,0.20833333333333334,0.25106590447832106,0.41025641025641024,0.1111111111111111,0.20893913821501925,0.4256410256410256,0.5902547065337763,0.09523809523809523,1.0,0.28695652173913044,0.42857142857142855,0.9749999999999999,1.0,0.25,0.015540015540015542,0.0,0.7999999999999999,0.0,0.3333333333333333,0.09090909090909091,0.0,0.0,0.1875,2.0
4601,0.0,0.0322061191626409,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.2222222222222222,0.8227220041889501,0.3589743589743589,0.4093761535622001,0.0,0.2345636426353915,0.2608695652173913,0.0,0.0,0.020876826722338204,0.0,0.00023310023310023313,0.0,0.8571428571428571,0.5825242718446602,0.3333333333333333,0.13636363636363635,0.0,0.0,0.25,3.0
3589,0.20930232558139533,0.08051529790660225,0.32269915847859026,0.9999999999999999,0.0,0.0,0.0,0.0,1.0,0.23744840067511236,0.0,0.0,0.024285714285714285,0.0,0.2608695652173913,0.0,0.0,0.020876826722338204,0.0,0.11732711732711734,0.5,0.8571428571428571,0.5339805825242718,0.6666666666666666,0.0,0.0,0.0,0.0,10.0
4646,0.0,0.01610305958132045,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.4444444444444445,0.3036378794965126,0.3333333333333333,0.18789221114802512,0.14285714285714285,0.26215936529837874,0.20869565217391306,0.0,0.0,0.020876826722338204,1.0,3.108003108003109e-05,1.0,0.8571428571428571,0.0,1.0,0.0,0.0,0.0,0.0,5.0
2639,0.0,0.040257648953301126,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.1111111111111111,0.20893913821501925,0.4256410256410256,0.5902547065337763,0.09523809523809523,1.0,0.20869565217391306,0.42857142857142855,0.9749999999999999,1.0,0.0,0.00038850038850038855,0.0,0.8571428571428571,0.0,0.3333333333333333,0.09090909090909091,0.0,0.0,0.1875,2.0
1124,0.023255813953488372,0.024154589371980676,0.007495068093663333,0.34718100890207715,0.10869565217391304,0.016666666666666666,0.10410158642491728,0.3384615384615384,0.2222222222222222,0.42127417288569863,0.23076923076923075,0.2617201919527501,0.0,0.15637576175692766,0.20869565217391306,0.3571428571428571,0.25,0.10438413361169102,0.0,0.00038850038850038855,1.0,0.8571428571428571,0.0,0.6666666666666666,0.13636363636363635,0.0,0.2,0.125,3.0
1454,0.0,0.01610305958132045,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.1111111111111111,0.20893913821501925,0.4256410256410256,0.5902547065337763,0.09523809523809523,1.0,0.2608695652173913,0.42857142857142855,0.9749999999999999,1.0,0.0,0.00038850038850038855,0.0,0.8571428571428571,0.0,0.3333333333333333,0.09090909090909091,0.0,0.13333333333333333,0.0625,2.0
